City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
221,kayes,14.0,-11.0,27.03,12,30,2.79,ML,1702331768
222,tiangua,-3.7322,-40.9917,25.55,51,69,2.28,BR,1702331768
223,nueve de julio,-35.4444,-60.8831,28.87,39,100,1.79,AR,1702331769
224,grand baie,-20.0182,57.5802,25.26,86,9,6.13,MU,1702331769
225,itoman,26.1247,127.6694,22.21,88,75,7.72,JP,1702331531
226,tataouine,32.9297,10.4518,14.38,39,0,5.56,TN,1702331769
227,ribeira grande,38.5167,-28.7,14.22,77,40,2.57,PT,1702331724
228,hiratacho,35.4333,132.8167,13.01,100,75,0.51,JP,1702331770
229,ak-suu,42.4995,78.527,-5.64,70,85,1.7,KG,1702331600
230,mejit,10.2753,170.8646,27.19,69,17,8.18,MH,1702331638
231,st. john's,47.5649,-52.7093,12.66,95,75,8.75,CA,1702331771
232,rajgir,25.0333,85.4167,14.22,46,0,2.18,IN,1702331771
233,minas de marcona,-15.2119,-75.1103,18.3,71,7,6.71,PE,1702331740
234,kapuskasing,49.4169,-82.4331,-8.95,79,100,4.63,CA,1702331772
235,general villegas,-35.0328,-63.0125,32.64,21,56,6.97,AR,1702331750
236,nebbi,2.4783,31.0889,21.27,73,13,2.79,UG,1702331772
237,yuci,37.6803,112.7319,-4.14,86,97,1.0,CN,1702331773
238,mahaddayweyne,2.9726,45.5347,25.02,82,99,4.65,SO,1702331773
239,urangan,-25.3,152.9,24.52,65,95,6.32,AU,1702331773
240,pisco,-13.7,-76.2167,23.03,73,0,8.75,PE,1702331745
241,barcelos,41.5388,-8.6151,17.18,91,100,4.09,PT,1702331774
242,denov,38.2667,67.9,7.69,88,100,2.25,UZ,1702331774
243,ain sefra,32.75,-0.5833,14.4,27,100,0.86,DZ,1702331775
244,bozeman,45.6796,-111.0386,3.43,81,100,2.57,US,1702331491
245,kill devil hills,36.0307,-75.676,9.0,62,75,2.57,US,1702331674
246,ketchikan,55.3422,-131.6461,4.99,87,75,3.09,US,1702331776
247,santa elena de uairen,4.6167,-61.1333,25.21,58,100,1.01,VE,1702331776
248,i-n-salah,27.1935,2.4607,16.11,35,0,5.43,DZ,1702331761
249,cabedelo,-6.9811,-34.8339,27.37,75,2,5.81,BR,1702331777
250,selfoss,63.9331,-20.9971,-3.75,90,59,2.68,IS,1702331778
251,maymana,35.9214,64.7836,7.89,74,100,2.48,AF,1702331778
252,mitsamiouli,-11.3847,43.2844,27.65,73,92,5.14,KM,1702331778
253,svetlyy,54.675,20.1347,0.03,99,100,1.11,RU,1702331779
254,ola,59.5833,151.2833,-8.19,92,100,5.19,RU,1702331779
255,pangody,65.85,74.4859,-26.55,89,100,5.63,RU,1702331759
256,enewetak,11.3474,162.3373,27.79,79,14,8.73,MH,1702331738
257,geraldton,-28.7667,114.6,22.23,26,0,5.14,AU,1702331780
258,hengchun,22.0042,120.7439,24.84,83,37,2.39,TW,1702331780
259,pravokumskoye,44.7694,44.6472,3.19,81,100,9.49,RU,1702331780
260,zelenogorskiy,55.0333,87.0,-25.69,86,8,3.02,RU,1702331781
261,laguna,38.421,-121.4238,17.38,51,0,1.54,US,1702331781
262,kalabo,-14.97,22.6814,21.91,79,94,2.37,ZM,1702331781
263,zakynthos,37.7914,20.8953,10.91,74,15,2.44,GR,1702331782
264,howard springs,-12.497,131.047,27.71,88,99,1.11,AU,1702331759
265,noumea,-22.2763,166.4572,27.99,99,96,6.15,NC,1702331402
266,puerto santa,-8.9906,-78.6456,21.15,80,11,4.48,PE,1702331782
267,tocopilla,-22.092,-70.1979,22.03,63,50,2.94,CL,1702331264
268,harstad,68.799,16.5293,-1.58,94,71,1.92,NO,1702331783
269,hawaiian paradise park,19.5933,-154.9731,25.57,94,75,1.54,US,1702331736
270,port alfred,-33.5906,26.891,17.88,95,4,0.45,ZA,1702331784
271,sao joao da barra,-21.6403,-41.0511,25.05,91,100,4.35,BR,1702331784
272,torzhok,57.0436,34.9622,-5.22,94,100,4.68,RU,1702331784
273,guerrero negro,27.9769,-114.0611,22.63,31,68,3.48,MX,1702331782
274,gisborne,-38.6533,178.0042,18.94,44,0,2.4,NZ,1702331785
275,argo,37.6333,22.7333,9.85,83,14,1.51,GR,1702331785
276,mazatlan,23.2167,-106.4167,26.62,68,0,2.24,MX,1702331786
277,ippy,6.2679,21.2247,24.29,30,70,2.09,CF,1702331786
278,eyl,7.9803,49.8164,24.92,72,76,7.64,SO,1702331594
279,mangalia,43.8,28.5833,5.35,81,31,4.01,RO,1702331787
280,todos santos,23.45,-110.2167,27.95,54,1,1.68,MX,1702331787
281,kattivakkam,13.2167,80.3167,25.05,74,98,4.32,IN,1702331787
282,uturoa,-16.7333,-151.4333,26.96,76,82,8.97,PF,1702331735
283,freeport,40.6576,-73.5832,6.09,62,75,9.77,US,1702331788
284,tandil,-37.3217,-59.1332,25.38,45,39,5.95,AR,1702331566
285,jianshui,23.6363,102.8264,12.29,90,84,0.71,CN,1702331789
286,batticaloa,7.7102,81.6924,25.38,88,96,2.97,LK,1702331789
287,tra vinh,9.9347,106.3453,24.72,87,98,3.89,VN,1702331790
288,yuzhno-kurilsk,44.0306,145.8556,0.76,76,100,4.06,RU,1702331790
289,wanning,18.8003,110.3967,22.03,91,38,1.92,CN,1702331790
290,rudnichnyy,59.617,52.4703,-22.74,83,99,4.31,RU,1702331790
291,mahajanga,-15.7167,46.3167,28.01,78,20,1.03,MG,1702331590
292,kununurra,-15.7667,128.7333,27.99,83,100,0.0,AU,1702331791
293,santa isabel,-23.3156,-46.2214,22.84,93,92,2.52,BR,1702331791
294,hasaki,35.7333,140.8333,12.38,86,100,10.86,JP,1702331742
295,kulhudhuffushi,6.6221,73.07,27.42,74,92,0.96,MV,1702331792
296,kaiyuan,23.6977,103.3037,12.5,92,94,0.88,CN,1702331792
297,lensk,60.7253,114.9278,-28.82,98,98,1.92,RU,1702331793
298,rikaze,29.25,88.8833,-4.24,49,59,0.72,CN,1702331793
299,thunder bay,48.4001,-89.3168,-2.01,69,100,5.66,CA,1702331493
300,zhouzhuang,31.1161,120.8451,4.97,77,100,4.93,CN,1702331793
301,agat village,13.3886,144.6585,28.06,85,20,3.6,GU,1702331794
302,salida,37.7058,-121.0849,16.95,49,0,2.57,US,1702331794
303,bowling green,36.9903,-86.4436,7.41,54,0,2.57,US,1702331406
304,marsa alam,25.0757,34.8918,22.7,83,73,4.71,EG,1702331795
305,misratah,32.3754,15.0925,18.55,70,16,4.71,LY,1702331795
306,crestview,30.7621,-86.5705,15.6,29,0,4.12,US,1702331706
307,kalashnikovo,57.2824,35.2262,-5.91,93,100,4.78,RU,1702331795
308,yaring,6.8662,101.3689,25.85,85,78,4.01,TH,1702331796
309,pingliang,35.5392,106.6861,-1.3,60,0,1.57,CN,1702331796
310,sariveliler,36.6913,32.6196,1.55,94,58,0.91,TR,1702331796
311,salekhard,66.53,66.6019,-28.41,98,100,3.87,RU,1702331797
312,acarau,-2.8856,-40.12,26.87,79,24,7.62,BR,1702331797
313,iwanai,42.9744,140.5089,-2.54,80,100,1.32,JP,1702331797
314,gurinhem,-7.1239,-35.4244,25.37,73,19,5.49,BR,1702331798
315,kaa-khem,51.6833,94.7333,-34.22,97,89,1.0,RU,1702331798
316,aral,40.5156,81.2636,-2.06,51,77,1.97,CN,1702331781
317,el dorado,38.7666,-120.5177,14.12,48,83,0.89,US,1702331798
318,barra de santo antonio,-9.4047,-35.5072,25.6,77,3,6.09,BR,1702331799
319,cova figueira,14.8905,-24.2934,23.22,61,9,5.43,CV,1702331799
320,turpan,42.9333,89.1667,-0.22,64,100,0.58,CN,1702331756
321,sisimiut,66.9395,-53.6735,-0.67,88,100,10.39,GL,1702331800
322,havre,49.5833,0.3333,11.3,93,100,3.09,FR,1702331800
323,port augusta,-32.5,137.7667,20.5,48,60,3.82,AU,1702331800
324,khilok,51.3674,110.4676,-28.83,98,31,0.76,RU,1702331800
325,fale old settlement,-9.3852,-171.2468,28.91,77,100,10.02,TK,1702331792
326,punta del este,-34.9667,-54.95,26.06,89,40,6.71,UY,1702331801
327,ebon,4.582,168.6964,26.8,87,90,8.91,MH,1702331801
328,mersrags,57.3354,23.1246,1.09,98,100,4.97,LV,1702331802
329,fort bragg,35.139,-79.006,8.75,58,0,2.57,US,1702331802
330,lethbridge,49.7,-112.8186,0.45,55,75,3.6,CA,1702331802
331,kalmunai,7.4167,81.8167,24.79,91,97,2.65,LK,1702331803
332,fiambala,-27.6871,-67.6149,30.21,29,13,6.44,AR,1702331800
333,inhambane,-23.865,35.3833,25.66,93,100,2.68,MZ,1702331803
334,sweetwater,25.7634,-80.3731,21.12,68,75,6.17,US,1702331804
335,nelson bay,-32.7167,152.15,26.72,75,19,2.24,AU,1702331804
336,udomlya,57.8794,34.9925,-5.71,91,100,4.62,RU,1702331804
337,zlatograd,41.3833,25.1,3.34,86,7,1.45,BG,1702331805
338,sheopur,25.6667,76.7,15.13,45,0,1.81,IN,1702331805
339,aguilares,-27.4338,-65.6143,31.44,46,58,0.55,AR,1702331805
340,port saint john's,-31.6229,29.5448,20.11,89,99,1.6,ZA,1702331806
341,gazojak,41.1875,61.4036,-8.14,35,0,7.73,TM,1702331806
342,lamarque,-39.423,-65.7021,32.28,13,58,11.45,AR,1702331807
343,gargalianoi,37.0667,21.6333,11.31,77,32,3.28,GR,1702331807
344,herval,-32.0236,-53.3956,22.63,81,58,5.07,BR,1702331807
345,tir pul,34.5943,61.269,6.79,79,1,6.17,AF,1702331808
346,phang nga,8.4509,98.5298,26.02,94,100,1.6,TH,1702331808
347,ulsteinvik,62.3432,5.8487,0.97,79,12,0.89,NO,1702331784
348,cumana,10.4635,-64.1775,26.42,85,99,5.47,VE,1702331809
349,raja,8.4596,25.678,26.43,23,98,1.59,SS,1702331809
350,petropavlovsk-kamchatsky,53.0452,158.6483,-9.67,87,40,7.6,RU,1702331743
351,qarazhal,48.0078,70.7903,-24.23,83,80,8.61,KZ,1702331809
352,twon-brass,4.3151,6.2418,27.9,75,21,4.49,NG,1702331810
353,inarajan village,13.2736,144.7484,28.08,88,51,6.72,GU,1702331810
354,nogliki,51.8333,143.1667,-22.03,93,10,4.02,RU,1702331810
355,masterton,-40.9597,175.6575,16.05,44,24,3.71,NZ,1702331786
356,lisakovsk,52.5369,62.4936,-29.98,96,7,3.27,KZ,1702331811
357,bhawana,31.5692,72.649,12.8,27,0,2.58,PK,1702331811
358,saint-philippe,-21.3585,55.7679,24.77,81,59,4.69,RE,1702331795
359,tuy hoa,13.0833,109.3,22.82,91,47,1.72,VN,1702331812
360,tateyama,34.9833,139.8667,13.96,94,75,1.54,JP,1702331642
361,kupang,-10.1667,123.5833,26.32,100,40,1.03,ID,1702331813
362,suva,-18.1416,178.4415,26.71,65,75,3.09,FJ,1702331691
